Partita,Risultato,Numero_maglia,Nome,Gol,Assist,Contrasti,Uno contro uno,Uno contro uno riusciti,Minuti giocati,Posizione,Valutazione,Squadra,Match_winner,Tiri in porta,Tiri fuori,Tiri bloccati,Dribbling tentati,Dribbling tentati riusciti,Salvataggi,Intercetti,Dribbling_subiti,Passaggi effettuati,Precisione_passaggi,Passaggi chiave,Cross,Cross prec.,Palle lunghe,Palle lunghe riusciti,Palle_perse,Falli subiti,Falli,Respinte,Uscite,Vincenti,Duelli di testa vinti,Parate da dentro l'area,Salvataggio sulla linea di porta,Rigori parati,Grossa occasione da rete creata,Autogol,Errore che ha portato al tiro,Falli da rigore commessi,Errori che hanno portato al gol,Rigori sbagliati,Fallo su ultimo uomo,Pali e traverse,Grande occasione da rete mancata,Rigori conquistati
Liverpool - Middlesbrough,3-0,10,Philippe Coutinho,1,0,2,10,0.9,90',M,8.9,Liverpool,Liverpool ,3,1,0,6,1.0,0,0,0,93,0.86,1,6,0.0,8,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,5,Georginio Wijnaldum,1,1,0,9,0.33,90',M,8.1,Liverpool,Liverpool ,1,1,0,0,0,2,1,2,62,0.93,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,22,Simon Mignolet,0,0,0,0,0,90',G,7.6,Liverpool,Liverpool ,0,0,0,0,0,3,0,0,10,0.76,0,0,0,5,0.4,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,11,Roberto Firmino,0,1,0,4,0.0,79',F,7.5,Liverpool,Liverpool ,2,0,0,0,0,0,0,2,33,0.80,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,29,Rudy Gestede,0,0,1,25,0.76,73',F,7.5,Middlesbrough,Liverpool ,0,2,1,1,0.0,0,0,0,15,0.55,1,0,0,0,0,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,20,Adam Lallana,1,0,0,12,0.33,90',M,7.4,Liverpool,Liverpool ,3,0,0,3,0.33,1,0,0,65,0.87,4,2,0.0,1,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,23,Emre Can,0,0,2,13,0.31,90',M,7.2,Liverpool,Liverpool ,1,1,0,1,1.0,0,1,0,76,0.91,1,0,0,7,0.43,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,32,Joël Matip,0,0,1,3,0.67,90',D,7.2,Liverpool,Liverpool ,0,0,0,0,0,3,3,0,101,0.90,1,0,0,6,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,3,George Friend,0,0,4,13,0.77,90',D,7.2,Middlesbrough,Liverpool ,0,0,1,4,0.75,2,2,0,26,0.81,1,0,0,5,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,2,Nathaniel Clyne,0,0,1,4,0.5,90',D,7.1,Liverpool,Liverpool ,0,2,0,0,0,1,0,1,60,0.90,2,2,0.0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,7,James Milner,0,0,5,15,0.4,86',D,7.1,Liverpool,Liverpool ,0,0,1,0,0,2,0,0,50,0.87,1,6,0.5,2,0.5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,10,Álvaro Negredo,0,0,0,1,0.0,17',F,7.0,Middlesbrough,Liverpool ,0,0,0,0,0,0,0,0,4,0.80,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,34,Adam Forshaw,0,0,5,8,0.75,90',M,6.9,Middlesbrough,Liverpool ,2,1,0,0,0,2,2,1,17,0.68,0,0,0,2,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Liverpool - Middlesbrough,3-0,15,Daniel Sturridge,0,0,0,6,0.33,82',F,6.9,Liverpool,Liverpool ,0,4,1,1,0.0,0,0,0,16,0.76,1,0,0,1,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,12,Brad Guzan,0,0,0,0,0,90',G,6.9,Middlesbrough,Liverpool ,0,0,0,0,0,7,0,0,15,0.42,0,0,0,35,0.43,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,19,Stewart Downing,0,0,1,3,0.67,90',F,6.9,Middlesbrough,Liverpool ,0,0,0,0,0,2,1,0,14,0.73,2,5,0.4,3,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,6,Dejan Lovren,0,0,1,11,0.45,90',D,6.8,Liverpool,Liverpool ,0,0,0,0,0,7,0,0,80,0.94,0,0,0,6,0.83,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,21,Lucas Leiva,0,0,2,6,0.5,11',M,6.8,Liverpool,Liverpool ,0,0,0,0,0,0,0,1,19,0.86,0,1,1.0,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,4,Daniel Ayala,0,0,0,0,0,17',D,6.7,Middlesbrough,Liverpool ,0,0,0,0,0,0,1,0,5,1,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,25,Calum Chambers,0,0,0,7,0.71,90',D,6.6,Middlesbrough,Liverpool ,0,0,2,2,1.0,8,2,0,9,0.50,0,1,0.0,6,0.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,7,Grant Leadbitter,0,0,1,4,0.5,90',M,6.6,Middlesbrough,Liverpool ,0,0,0,0,0,1,2,1,26,0.70,0,1,0.0,6,0.17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,6,Ben Gibson,0,0,1,4,0.75,90',D,6.5,Middlesbrough,Liverpool ,0,0,1,0,0,7,0,0,10,0.66,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool - Middlesbrough,3-0,20,Patrick Bamford,0,0,1,17,0.29,90',F,6.4,Middlesbrough,Liverpool ,1,0,0,3,0.33,2,1,1,12,0.70,0,0,0,1,0.0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
